DRUGBANK,name,groups,DRUGS PRODUCT DATABASE (DPD),PUBCHEM SUBSTANCE,KEGG DRUG,PHARMGKB,UNIPROTKB,THERAPEUTIC TARGETS DATABASE,WIKIPEDIA,CHEMBL,RXCUI,GENBANK,KEGG COMPOUND,CHEBI,PUBCHEM COMPOUND,CHEMSPIDER,BINDINGDB,IUPHAR,GUIDE TO PHARMACOLOGY,PDB,ZINC
DB11235,Thonzylamine,approved,,347827947,,,,,Thonzylamine,CHEMBL1623738,1360721,,,104017,5457,5258,,,,,ZINC000000057513
DB11237,Trypsin,"approved,vet_approved",,347911160,,,,,Trypsin,,10890,,,,,,,,,,
DB11238,Borage oil,"approved,investigational",5065,347911161,,,,,Borage_oil,,68905,,,,,,,,,,
DB11239,Aluminum sulfate,approved,5186,347827948,,,,,Aluminium_sulfate,CHEMBL3833402,17621,,,74768,24850,23233,,,,,
DB11242,Gelatin,"approved,vet_approved",8825,347911163,,,,,Gelatin,,4716,,,,,,,,,,
DB11243,Ethyl macadamiate,approved,,347911164,,,,,Ethyl_macadamiate,,1314358,,,,,,,,,,
DB11246,Copper gluconate,"approved,investigational",7281,347827950,,,,,Copper_gluconate,,2839,,C12278,31431,10692,10242,,,,,
DB11248,Zinc gluconate,"approved,vet_approved",9805,347827951,,,,,Zinc_gluconate,CHEMBL3833377,58300,,,29708,443445,391659,,,,,
DB11251,Tocopherol,"approved,investigational",,347911165,,,,,Tocopherol,,1236136,,,,,,,,,,
DB11253,Xanthan gum,approved,,347911167,,,,,Xanthan_gum,,1307815,,,,,,,,,,
DB11254,Hexylresorcinol,approved,700,347827952,,,,,Hexylresorcinol,CHEMBL443605,5321,,,93749,3610,21106121,50292636,,,,ZINC000001576892
DB11255,Chromium picolinate,approved,,347827953,,,,,Chromium(III)_picolinate,,59308,,,50369,625469,133913,,,,,
DB11256,Levomefolic acid,"approved,investigational",21354,347827954,,PA166129561,,,Levomefolic_acid,CHEMBL1231574,1025342,,C00440,15641,444412,392351,50391007,,,THH,ZINC000002005305
DB11257,Fluoride ion,approved,,347827955,,,,,Fluoride,CHEMBL1362,196213,,C00742,17051,28179,26214,26978,,,F,
DB11260,Diacetyl benzoyl lathyrol,approved,,347827957,,,,,,CHEMBL552128,1426391,,,136008,10577938,8753322,,,,,ZINC000096903163
DB11261,Atractylodes japonica root,approved,,347911169,,,,,,,1307719,,,,,,,,,,
DB11262,Bisoctrizole,approved,20446,,,,,,Bisoctrizole,CHEMBL2104957,1310510,,,135865,,2808671,,,,,ZINC000011677911
DB11263,Polydatin,approved,,347827958,,,,,Piceid,CHEMBL142652,1364277,,C10275,8198,5281718,4445034,60919,,,,ZINC000004098633
DB11264,Calcium glycerophosphate,approved,293,347911170,D01488,,,,Calcium_glycerophosphate,CHEMBL3707206,1909,,C12935,31336,,56554,,,,,
DB11266,Sea salt,approved,,347911171,,,,,Sea_salt,,1311499,,,,,,,,,,
DB11269,Diethylamino hydroxybenzoyl hexyl benzoate,approved,,,,,,,Diethylamino_hydroxybenzoyl_hexyl_benzoate,,1426392,,,136006,,8286957,,,,,ZINC000034230491
DB11270,Atractylodes japonica root oil,approved,,347911172,,,,,,,1305643,,,,,,,,,,
DB11271,Polysilicone-15,approved,,,,,,,Polysilicone-15,,1367142,,,,,,,,,,
DB11273,Dihydroergocornine,approved,,,,,,,Dihydroergocornine,CHEMBL2365712,3415,,,59909,,147720,,,,,ZINC000004215648
DB11274,Dihydro-alpha-ergocryptine,approved,,,,,,,,CHEMBL1743263,91170,,,59919,,102887,50390994,,,,ZINC000003929793
DB11275,Epicriptine,approved,,,,,,,Epicriptine,CHEMBL2106411,91171,,,135927,,59102,,,,,ZINC000004215812
DB11277,Aluminum zirconium pentachlorohydrex gly,approved,,347911174,,,,,,,1305899,,,,,,,,,,
DB11278,DL-Methylephedrine,approved,,,,,,,Methylephedrine,CHEMBL445001,1546444,,,113556,,58315,,,,,ZINC000000000491
DB11279,Brilliant green cation,"approved,vet_approved",2918,347827961,,,,,Brilliant_Green,CHEMBL1589793,1546367,,,88176,12449,11942,81263,,,,ZINC000004235575
DB11282,Diethyltoluamide,approved,1309,,D02379,,,,DEET,CHEMBL1453317,3129,,C10935,7071,,4133,,,,DE3,ZINC000000001291
DB11283,DL-dimyristoylphosphatidylcholine,approved,,,,,,,,CHEMBL316257,1362902,,,241349,,24408,,,,,
DB11284,DL-dimyristoylphosphatidylglycerol,approved,,,,,,,,,1427048,,,,,96926,,,,,
DB11285,Ethyl ferulate,"approved,experimental",,,,,,,,CHEMBL286796,1420983,,,,,643791,50297424,,,ZYC,ZINC000000160496
DB11286,Colloidal oatmeal,"approved,nutraceutical",,347911175,,,,,Colloidal_oatmeal,,221082,,,,,,,,,,
DB11293,Rice bran oil,approved,,347911177,,,,,Rice_bran_oil,,1309223,,,,,,,,,,
DB11294,Coccidioides immitis spherule,approved,,347911178,,,,,,,1549330,,,,,,,,,,
DB11295,Trichophyton verrucosum,approved,,347911179,,,,,Trichophyton_verrucosum,,1310905,,,,,,,,,,
DB11298,Thioredoxin,approved,,347911180,,,,,Thioredoxin,,1314275,,,,,,,,,,
DB11299,Vanillyl butyl ether,approved,,347827963,,,,,,,1313189,,,,5084146,4260417,,,,,ZINC000002561203
DB11300,Thrombin,"approved,investigational",9050,347911181,,,,,Thrombin,,10528,,,,,,,,,,
DB11301,Curcuma aromatica root oil,approved,,347911182,,,,,,,1482794,,,,,,,,,,
DB11304,Phenoxyethanol,approved,5548,347827964,,,,,Phenoxyethanol,CHEMBL1229846,89552,,,64275,31236,13848467,,,,268,ZINC000001577061
DB11306,Bentonite,approved,3781,,,,,,Bentonite,,1375,,,,,,,,,,
DB11311,Prothrombin,approved,2931,347911184,,,,,Prothrombin,,1441689,,,,,,,,,,
DB11312,Protein C,approved,20131,347911185,D08796,,,,Protein_C,,723868,,,,,,,,,,
DB11315,Methscopolamine,approved,,347827965,,,,,Methylscopolamine_bromide,CHEMBL376897,89785,,,135361,71183,21106347,50241132,,,3C0,
DB11323,Glycol salicylate,approved,9724,347827966,,,,,,CHEMBL173562,26051,,,86541,6880,6616,,,,,ZINC000001698306
DB11326,Boric acid,approved,6996,347827967,,,,,Boric_acid,CHEMBL42403,1700,,C12486,33118,7628,7346,39817,,,BO3,ZINC000245189278
DB11327,Dipyrithione,approved,1978,,,,,,,CHEMBL549473,1362743,,,136010,,2998,,,,,ZINC000001751811
DB11328,Tetradecyl hydrogen sulfate (ester),approved,,,,,,,,CHEMBL1201345,1370424,,,75275,,8441,,,,,
DB11329,C11-12 isoparaffin,approved,,347911187,,,,,,,1609072,,,,,,,,,,
DB11330,Factor IX Complex (Human),"approved,investigational",4230,347911188,,,,,Prothrombin_complex_concentrate,CHEMBL2109098,1670383,,,,,,,,,,
DB11331,1-Palmitoyl-2-oleoyl-sn-glycero-3-(phospho-rac-(1-glycerol)),"approved,experimental",,,,,,,,,1440971,,,34080,,4446626,,,,,
DB11332,Sinapultide,approved,,,,,,,,CHEMBL2103901,1440288,,,,,16742247,,,,,
DB11333,Poloxamer 188,"approved,investigational",2380,347911189,,,,,,CHEMBL2108134,155152,,,,,,,,,,
DB11336,Kinetin,approved,,347827968,,,,,Kinetin,CHEMBL228792,16054,,C08272,27407,3830,3698,181147,,,H35,ZINC000000001601
DB11338,Clove oil,"approved,nutraceutical",3557,347911190,,,,,Clove_oil,CHEMBL2108247,7624,,,,,,,,,,
DB11340,Ubiquinol,"approved,investigational",,347827969,,,,,Ubiquinol,,39085,,,64183,9962735,8138335,,,,,ZINC000085574641
DB11341,Ichthammol,approved,6857,347911191,,,,,Ichthammol,,5645,,,,,,,,,,
DB11342,Aluminum oxide,approved,685,347827970,,,,,Aluminium_oxide,CHEMBL3707210,615,,,,9989226,8164808,,,,,
DB11343,Silanol,approved,,347827971,,,,,Silanol,,1601667,,,37173,6327522,125395,,,,,
DB11346,Rubidium,"approved,investigational",,,,,,,Rubidium,,1311489,,,33322,,4512975,,,,,
DB11348,Calcium Phosphate,approved,4803,347827972,,,,,Calcium_phosphate,CHEMBL2106566,1919,,C08136,9679,24456,22864,,,,,
DB11352,Ascorbyl phosphate,approved,,347911194,,,,,,,1370605,,,,,,,,,,
DB11355,Propolis wax,approved,,347911195,,,,,,,1311659,,,,,,,,,,
DB11356,Polyquaternium-10 (400 cps at 2%),approved,,347911196,,,,,,,1367143,,,,,,,,,,
DB11357,Linseed oil,"approved,investigational",,347911197,,,,,Linseed_oil,,6404,,,,,,,,,,
DB11359,Guaiacol,approved,6896,347827973,D00117,,,,Guaiacol,CHEMBL13766,5031,,C01502,28591,460,447,50240369,,,JZ3,ZINC000013512224
DB11360,Lactobacillus plantarum,"approved,investigational",,347911199,,,,,Lactobacillus_plantarum,,1673942,,,,,,,,,,
DB11362,Selexipag,approved,22681,310265229,D09994,,,,Selexipag,CHEMBL238804,1729002,,,90844,9913767,8089417,50235383,,,,ZINC000003990451
DB11363,Alectinib,"approved,investigational",22813,310265230,D10542,PA166160050,,,Alectinib,CHEMBL1738797,1727455,,,90936,49806720,26326738,50362781,,,EMH,ZINC000066166864
DB11386,Chlorobutanol,"approved,investigational,vet_approved",6995,347827977,D01942,,,,Chlorobutanol,CHEMBL1439973,2378,,,134813,5977,13842993,50417941,,,,ZINC000001482005
DB11387,Chloroform,"approved,vet_approved",,,,,,,Chloroform,CHEMBL44618,1362698,,C13827,35255,,5977,,,,MCH,ZINC000008214524
DB11431,Moxidectin,"approved,investigational,vet_approved",225,,D05084,,,,Moxidectin,CHEMBL2104415,1047072,,,,,22901017,,,,,ZINC000169649308
DB11496,2-mercaptobenzothiazole,"approved,experimental,vet_approved",16476,,,,,,Mercaptobenzothiazole,CHEMBL111654,1358845,,C14437,34292,,608157,50444459,,,,ZINC000018098783
DB11560,Lesinurad,"approved,investigational",,347827983,D09921,PA166160006,,,Lesinurad,CHEMBL2105720,1731031,,,90929,53465279,28527877,,,,,ZINC000084757007
DB11563,Sebelipase alfa,"approved,investigational",22913,347911202,D10377,,P38571,,Sebelipase_alfa,,1726975,,,,,,,,,,
DB11569,Ixekizumab,"approved,investigational",22714,347911203,D10071,,,,Ixekizumab,CHEMBL1743034,1745099,,,,,,,,,,
DB11570,Padimate O,approved,2129,347827986,D05335,,,,Padimate_O,CHEMBL1323699,32786,,,135932,30541,28343,,,,,
DB11571,Human thrombin,approved,11564,347911204,,,,,,,825006,,,,,,,,,,
DB11572,Thrombin alfa,approved,20562,347911205,,,,,,,1367075,,,,,,,,,,
DB11573,Aluminum chlorohydrate,approved,6984,347827987,,,,,Aluminum_chlorohydrate,,17610,,,,71586946,32699791,,,,,
DB11574,Elbasvir,approved,22680,347827988,D10625,PA166163436,,,Elbasvir,CHEMBL3039514,1734628,,,132967,71661251,30843797,,,,,ZINC000150588351
DB11575,Grazoprevir,approved,22679,347827989,D10639,PA166163437,,,Grazoprevir,CHEMBL2063090,1734630,,,132975,44603531,28506694,,,,SUE,ZINC000095551509
DB11577,Indigotindisulfonic acid,approved,6214,347827990,,,,,Indigo_carmine,CHEMBL1091250,1546441,,,90117,5282430,4445584,,,,,ZINC000100005073
DB11578,Hard fat,approved,13263,,,,,,Fatback,,1368196,,,,,,,,,,
DB11579,Light Mineral Oil,approved,298,347911206,,,,,,,577312,,,,,,,,,,
DB11580,Ravulizumab,"approved,investigational",23349,,,,,,Ravulizumab,,2107316,,,,,,,,,,
DB11581,Venetoclax,"approved,investigational",22812,347827991,D10679,PA166153473,,,Venetoclax,CHEMBL3137309,1747556,,,133021,49846579,29315017,60828,,,LBM,ZINC000150338755
DB11583,Cetalkonium,approved,9900,347827993,,,,,Cetalkonium_chloride,CHEMBL1624075,,,,135523,31203,28944,,,,,ZINC000014233334
DB11584,Pipradrol,approved,5898,,,,,,Pipradrol,CHEMBL2110938,,,,135101,,9681,,,,,
DB11585,Drometrizole trisiloxane,approved,19130,,,,,,Drometrizole_trisiloxane,,1992874,,,,,8024601,,,,,
DB11587,Etafedrine,approved,8936,,,,,,Etafedrine,,,,,,,85308,,,,,ZINC000001846418
DB11588,Carbon monoxide,"approved,investigational",1938,347827995,D09706,,,,Carbon_monoxide,CHEMBL1231840,2037,,C00237,17245,281,275,,,,CMO,
DB11589,Neon,"approved,investigational",2331,347827996,,,,,Neon,,7301,,,33310,23935,22377,,,,,
DB11590,Thimerosal,approved,,347827997,D00864,,,,Thiomersal,CHEMBL508338,10472,,,9546,16684434,5697,,,,,
DB11591,Bilastine,"approved,investigational",22707,347827998,,,,,Bilastine,CHEMBL1742423,,,,135954,185460,161234,,,,,ZINC000003822702
DB11594,Domiphen,"approved,experimental",5904,347828001,,,,,Domiphen,CHEMBL1187011,23623,,,135978,3149,3037,,,,,ZINC000006845992
DB11595,Atezolizumab,"approved,investigational",22863,347911207,D10773,,,,Atezolizumab,,1792776,,,,,,,,,,
DB11596,Levoleucovorin,"approved,investigational",,347828002,D04715,PA450198,,,Levoleucovorin,CHEMBL1908841,877015,,,63606,149436,131714,286,,,FFO,ZINC000009212427
DB11597,Human Rho(D) immune globulin,"approved,investigational",22927,347911208,,,,,Rho(D)_immune_globulin,,1789837,,,,,,,,,,
DB11598,Antithrombin III human,approved,733,347911209,,,,,,,221062,,,,,,,,,,
DB11599,"Starch, corn","approved,nutraceutical",,347911210,,,,,,,1039062,,,,,,,,,,
DB11600,Beeswax,approved,,347911211,,,,,Beeswax,,1356,,,,,,,,,,
DB11601,Tuberculin purified protein derivative,approved,7783,347911212,,,,,,,8948,,,,,,,,,,
DB11602,Hydroxyethyl cellulose,approved,3977,347828003,D04474,,,,Hydroxyethyl_cellulose,CHEMBL2109076,27244,,,85249,4327536,3532118,,,,,
DB11603,Human rabies virus immune globulin,approved,22955,347911213,,,,,,,89886,,,,,,,,,,
DB11604,Tetanus Immune Globulin,approved,,347911214,,,,,,,1727875,,,,,,,,,,
DB11605,Myrrh,approved,6952,347911215,,,,,Myrrh,,67257,,,,,,,,,,
DB11606,Susoctocog alfa,"approved,investigational",22653,347911216,,,,,Susoctocog_alfa,,1592899,,,,,,,,,,
DB11607,Efmoroctocog alfa,"approved,investigational",22511,347911217,,,,,,,1543095,,,,,,,,,,
DB11608,Eftrenonacog alfa,"approved,investigational",22263,347911218,,,,,,,1535944,,,,,,,,,,
DB11609,Normethadone,"approved,illicit",2664,347828004,D07384,,,,Normethadone,CHEMBL346331,32009,,,135242,10090,9687,,,,,ZINC000001847280
DB11610,Oxilofrine,approved,8934,347828005,D08314,,,,Oxilofrine,CHEMBL1160695,32639,,,134822,688009,599505,,,,,ZINC000000056399
DB11611,Lifitegrast,approved,22923,347828006,D10374,,,,Lifitegrast,CHEMBL2048028,1801820,,,133023,11965427,10139520,50386331,,,,ZINC000084668739
DB11613,Velpatasvir,"approved,investigational",22733,347828007,D10806,PA166163415,,,Velpatasvir,CHEMBL3545062,1799206,,,133009,67683363,34501056,,,,,ZINC000203686879
DB11614,Rupatadine,approved,22754,347828008,,PA165107052,,,Rupatadine,CHEMBL91397,,,,135673,133017,117388,50036935,,,,ZINC000000598829
DB11619,Gestrinone,approved,,347828012,D04317,,,,Gestrinone,CHEMBL1868702,4792,,,89642,27812,25877,50423515,,,,ZINC000003938633
DB11621,Human Varicella-Zoster Immune Globulin,approved,22958,347911219,,,,,VZV_immune_globulin,,39385,,,,,,,,,,
DB11622,Dehydrocholic acid,"approved,investigational",7287,347828014,D01693,,,,Dehydrocholic_acid,CHEMBL514446,42625,,C13154,31459,6674,6422,,,,,ZINC000003860869
DB11626,Tasonermin,approved,,,,,,,Tasonermin,,283746,,,,,,,,,,
DB11630,Temoporfin,"approved,investigational",,,D06066,,,,Temoporfin,CHEMBL500576,115243,,C11730,9437,,54754,,,,,
DB11632,Opicapone,"approved,investigational",,,,,,,Opicapone,CHEMBL1089318,,,,134699,,24667564,50019329,,,,ZINC000034602275
DB11633,Isavuconazole,"approved,investigational",,,,,,,Isavuconazonium,CHEMBL409153,1720882,,,85979,,5293682,,,,,ZINC000001485935
DB11635,Tocofersolan,approved,72,347911221,,,,,Tocofersolan,,159151,,,,,,,,,,
DB11636,Nomegestrol,approved,,,D07222,,,,Nomegestrol,CHEMBL2105722,31930,,,135993,,62024,,,,,ZINC000004217164
DB11637,Delamanid,"approved,investigational",,,,,,,Delamanid,CHEMBL218650,,,,134742,,4981055,,,,,ZINC000043100810
DB11639,Dibotermin alfa,"approved,investigational",,,,,P12643,,Bone_morphogenetic_protein_2,,,,,,,,,,,,
DB11640,Amifampridine,"approved,investigational",,,,,,,Amifampridine,CHEMBL354077,2106338,,,135948,,5705,50416493,,,L89,ZINC000000164000
DB11641,Vinflunine,"approved,investigational",,,,,,,Vinflunine,CHEMBL2110725,,,,90241,,8804619,,,,,ZINC000085537078
DB11642,Pitolisant,"approved,investigational",,,,,,,Pitolisant,CHEMBL462605,2197878,,,134709,,8123714,50247053,,,,ZINC000034045468
DB11643,Recombinant Cholera Toxin B Subunit,approved,12361,,,,,,,,,,,,,,,,,,
DB11644,Tafamidis,"approved,investigational",23410,347828016,D09673,,,,Tafamidis,CHEMBL2103837,1545063,,,78538,11001318,9176510,50197883,,,3MI,ZINC000043206271
DB11652,Tucatinib,"approved,investigational",,347828023,,,,,Tucatinib,CHEMBL3989868,,,,,51039094,34995558,,,,,ZINC000068250462
DB11653,Bremelanotide,"approved,investigational",,347828024,,,,,Bremelanotide,CHEMBL2070241,2176312,,,,9941379,8116997,50389769,,,,
DB11660,Latanoprostene bunod,"approved,investigational",23032,347828030,,,,,Latanoprostene_bunod,CHEMBL2364612,1988390,,,,11156438,9331546,,,,,ZINC000095598449
DB11672,Curcumin,"approved,experimental,investigational",,347828040,,,,,Curcumin,CHEMBL140,2955,,,3962,969516,839564,50140172,,,CC9,ZINC000000899824
DB11689,Selumetinib,"approved,investigational",,347828055,D09666,PA166129529,,,Selumetinib,CHEMBL1614701,,,,90227,10127622,8303141,50355497,,,3EW,ZINC000031773258
DB11691,Naldemedine,"approved,investigational",,347828056,,,,,Naldemedine,CHEMBL2105755,1876597,,,,54732242,28530803,,,,,
DB11699,Tropisetron,"approved,investigational",,347828064,,,,,Tropisetron,CHEMBL56564,27392,,C13666,32269,656665,16736476,50108392,,,TKT,ZINC000100019233
DB11703,Acalabrutinib,"approved,investigational",23350,347828068,,,,,Acalabrutinib,CHEMBL3707348,1986808,,,,71226662,36764951,50175583,,,,ZINC000208774715
DB11705,Iomeprol,"approved,investigational",,347828070,D01719,,,,Iomeprol,CHEMBL2107214,,,,31710,3731,3600,,,,,
DB11712,Tezacaftor,"approved,investigational",22963,347828077,D11041,,,,Tezacaftor,CHEMBL3544914,1999382,,,,46199646,28637762,281054,,,,ZINC000068206930
DB11714,Durvalumab,"approved,investigational",22909,347911229,D10808,,,,Durvalumab,,1919503,,,,,,,,,,
DB11718,Encorafenib,"approved,investigational",,347828081,,PA166179872,,,Encorafenib,CHEMBL3301612,2049106,,,,50922675,28536139,221688,,,,ZINC000068249103
DB11730,Ribociclib,"approved,investigational",22938,347828089,D10883,PA166153470,,,Ribociclib,CHEMBL3545110,1873916,,,,44631912,30798107,148264,,,6ZZ,ZINC000072316335
DB11732,Lasmiditan,"approved,investigational",,347828091,,,,,Lasmiditan,CHEMBL3039520,2256930,,,,11610526,9785281,,,,,ZINC000003818355
DB11735,Galactose,"approved,investigational",2394,347828093,,,,,Galactose,,4626,,,17118,3037556,2301265,,,,,ZINC000100008403
DB11738,Rilmenidine,"approved,investigational",,347828096,,,,,Rilmenidine,CHEMBL289480,55679,,C11120,8862,68712,61963,50070328,,,,ZINC000000009708
DB11742,Ebastine,"approved,investigational",,347828100,,,,,Ebastine,CHEMBL305660,23796,,,31528,3191,3079,22873,,,,ZINC000003781952
DB11748,Benfotiamine,"approved,experimental",,347828105,,,,,Benfotiamine,CHEMBL3183549,18891,,,41039,3032771,2297665,,,,,ZINC000002015559
DB11750,Clobetasol,"approved,experimental,investigational",,347828107,,,,,Clobetasol,CHEMBL1201362,2590,,,205919,5311051,4470588,,,,,ZINC000026892643
DB11753,Rifamycin,"approved,investigational",,347911235,D02549,,,,Rifamycin,CHEMBL437765,35616,,C12044,29673,,16735998,50391000,,,,ZINC000169633673
DB11757,Istradefylline,"approved,investigational",,347828111,,,,,Istradefylline,CHEMBL431770,2199015,,,134726,5311037,4470574,50176050,,,,ZINC000003803921
DB11760,Talazoparib,"approved,investigational",23356,347828114,,,,,Talazoparib,CHEMBL3137320,2099704,,,,44819241,28637772,50084621,,,2YQ,ZINC000072318110
DB11761,Tenapanor,"approved,investigational",,347828115,,,,,Tenapanor,CHEMBL3304485,2199674,,,,71587953,32056950,,,,,
DB11767,Sarilumab,"approved,investigational",22840,347911238,,,,,Sarilumab,,1923319,,,,,,,,,,
DB11768,Zytron,"approved,investigational",,347828121,,,,,,,,,,,9299,8940,,,,,
DB11776,Brodalumab,"approved,investigational",22941,347911240,D10061,,,,Brodalumab,,1872251,,,,,,,,,,
DB11788,Neuropeptide Y,"approved,investigational",,347911242,,,,,Neuropeptide_Y,,,,,,,,,,,,
DB11791,Capmatinib,"approved,investigational",,347828140,,,,,Incyte,CHEMBL3188267,,,,,25145656,25069712,50146167,,,,ZINC000043195321
DB11793,Niraparib,"approved,investigational",23270,347828142,,PA166131610,,,Niraparib,CHEMBL1094636,1918231,,,,24958200,24531930,50316226,,,3JD,ZINC000043206370
DB11799,Bictegravir,"approved,investigational",22967,347828148,,,,,Bictegravir,CHEMBL3989866,1999660,,,,90311989,44208822,330048,,,KLQ,
DB11815,Tilarginine,"approved,investigational",,347828162,,,,,Methylarginine,CHEMBL256147,,,C03884,60257,132862,117259,92900,,,NMM,ZINC000001529776
DB11817,Baricitinib,"approved,investigational",22971,347828164,D10308,,,,Baricitinib,CHEMBL2105759,2047232,,,95341,44205240,26373084,50021656,,,3JW,ZINC000073069247
DB11823,Esketamine,"approved,investigational",,347828170,D07283,,,,Esketamine,CHEMBL395091,2119365,,,60799,182137,158414,,,,,ZINC000035999642
DB11827,Ertugliflozin,"approved,investigational",22949,347828173,,,,,Ertugliflozin,CHEMBL1770248,1992672,,,,44814423,26340533,50342885,,,,ZINC000068197809
DB11828,Neratinib,"approved,investigational",23331,347828174,,,,,Neratinib,CHEMBL180022,1940643,,,61397,9915743,8091392,50161957,,,,ZINC000003916214
DB11834,Guselkumab,"approved,investigational",22915,347911245,,,,,Guselkumab,,1928588,,,,,,,,,,
DB11835,Indium In-111 pentetreotide,"approved,investigational",,347828180,,,,,,,1724429,,,,131704321,,,,,,
DB11837,Osilodrostat,"approved,investigational",,347828182,,,,,Osilodrostat,CHEMBL3099695,2286252,,,,44139752,29340911,50444549,,,,ZINC000072318114
DB11842,Angiotensin II,"approved,investigational",,347828186,,,,,Angiotensin,CHEMBL408403,1999003,,C02135,58506,172198,150504,50236697,,,,ZINC000169676920
DB11855,Revefenacin,"approved,investigational",,347828196,,,,,Revefenacin,CHEMBL3833319,2102775,,,,11753673,9928376,,,,,
DB11859,Brexanolone,"approved,investigational",,347828198,,,,,Allopregnanolone,CHEMBL207538,2121777,,C13712,50169,92786,83760,50191342,,,,ZINC000004081043
DB11866,Romosozumab,"approved,investigational",23263,347911253,,,,,Romosozumab,,2123180,,,,,,,,,,
DB11901,Apalutamide,"approved,investigational",22964,347828234,,,,,Apalutamide,CHEMBL3183409,1999574,,,,24872560,28424131,50094975,,,,ZINC000043174901
DB11915,Valbenazine,"approved,investigational",,347828246,,,,,Valbenazine,CHEMBL2364639,1918219,,,,24795069,28536134,,,,,ZINC000043195697
DB11921,Deflazacort,"approved,investigational",,347828252,D03671,,,,Deflazacort,CHEMBL1201891,22396,,,135720,189821,164861,,,,,ZINC000004212809
DB11936,Bempedoic acid,"approved,investigational",,347828263,,,,,Bempedoic_acid,CHEMBL3545313,2282403,,,,10472693,8648104,,,,,ZINC000003948738
DB11942,Selinexor,"approved,investigational",,347828269,,,,,Selinexor,CHEMBL3545185,2178390,,,,71481097,32701989,,,,,ZINC000096170454
DB11943,Delafloxacin,"approved,investigational",,347828270,,,,,Delafloxacin,CHEMBL2105637,1927663,,,,487101,427049,,,,,ZINC000003827556
DB11945,Avelumab,"approved,investigational",22914,347911260,,,,,Avelumab,,1875534,,,,,,,,,,
DB11951,Lemborexant,"approved,investigational",,347828277,,,,,Lemborexant,CHEMBL3545367,2272403,,,,56944144,34500836,50093793,,,NRK,ZINC000118073503
DB11952,Duvelisib,"approved,investigational",,347828278,D10555,,,,Duvelisib,CHEMBL3039502,2058509,,,131169,50905713,28637766,50193013,,,,ZINC000088346058
DB11963,Dacomitinib,"approved,investigational",23131,347828287,D09883,,,,Dacomitinib,CHEMBL2110732,2058848,,,132268,11511120,9685914,112499,,,1C9,ZINC000072266312
DB11967,Binimetinib,"approved,investigational",,347828291,,PA166179867,,,Binimetinib,CHEMBL3187723,,,,145371,10288191,8463660,,,,,ZINC000038460704
DB11978,Glasdegib,"approved,investigational",,347828300,,,,,Glasdegib,CHEMBL2043437,2105845,,,145428,25166913,28518072,50385635,,,,ZINC000068251434
DB11979,Elagolix,"approved,investigational",22993,347828301,,,,,Elagolix,CHEMBL1208155,2049846,,,,11250647,9425680,,,,,ZINC000049888891
DB11986,Entrectinib,"approved,investigational",23398,347828307,,,,,Entrectinib,CHEMBL1983268,2197862,,,,25141092,24808589,158154,,,YMX,ZINC000043204146
DB11988,Ocrelizumab,"approved,investigational",22888,347911266,D05218,,,,Ocrelizumab,,1876366,,,,,,,,,,
DB11989,Benznidazole,"approved,investigational",,347828309,D02489,,,,Benznidazole,CHEMBL110,18994,,,133833,31593,29299,50089916,,,,ZINC000000056949
DB11994,Diacerein,"approved,investigational",,347828314,,,,,Diacerein,CHEMBL41286,22759,,,94708,26248,24456,32018,,,,ZINC000003812842
DB11995,Avatrombopag,"approved,investigational",,347828315,,,,,Avatrombopag,CHEMBL2103883,2045726,,,,9852519,8028230,,,,,ZINC000072190218
DB12001,Abemaciclib,"approved,investigational",23185,347828320,,PA166153471,,,Abemaciclib,CHEMBL3301610,1946825,,,,46220502,29340700,50110183,,,6ZV,ZINC000072318121
DB12010,Fostamatinib,"approved,investigational",,347828328,,,,,Fostamatinib,CHEMBL2103830,2044896,,,,11671467,9846198,50431381,,,2RC,ZINC000043131420
DB12015,Alpelisib,"approved,investigational",23434,347828332,,,,,Phosphoinositide_3-kinase_inhibitor,CHEMBL2396661,2169285,,,93752,56649450,28424123,50436459,,,1LT,ZINC000068198368
DB12020,Tecovirimat,"approved,investigational",,347828336,,,,,Tecovirimat,CHEMBL1257073,,,,,16124688,17281586,,,,,ZINC000035323125
DB12023,Benralizumab,"approved,investigational",22934,347911271,,,,,Benralizumab,,,,,,,,,,,,
DB12026,Voxilaprevir,"approved,investigational",22889,347828341,,,,,Voxilaprevir,CHEMBL3707372,1939323,,,,89921642,44209500,,,,L9P,
DB12035,Sarecycline,"approved,investigational",,347828347,,,,,Sarecycline,CHEMBL2364632,2059018,,,,54681908,28540486,,,,,ZINC000072319783
DB12070,Letermovir,"approved,investigational",22911,,,,,,Letermovir,CHEMBL1241951,1988648,,,,,26352849,,,,,ZINC000100369359
DB12091,Gadolinium,"approved,investigational",,347828395,,,,,Gadolinium,,1310171,,,33375,23982,22418,,,,GD,
DB12095,Telotristat ethyl,"approved,investigational",23002,347828399,,,,,Telotristat_ethyl,CHEMBL2105695,1872441,,,,25025298,28189674,,,,,ZINC000043205655
DB12097,Mannitol busulfan,"approved,investigational",,347828401,,,,,,,,,,,142775,125962,,,,,ZINC000008214535
DB12107,Vaborbactam,"approved,investigational",,347828408,,,,,Vaborbactam,CHEMBL3317857,1945213,,,,56649692,35035409,50089084,,,4D6,
